Open,High,Low,Close,Adj Close,Volume
29701.919921875,31227.970703125,29602.939453125,29893.9609375,29893.9609375,24700
30571.189453125,31225.19921875,30420.220703125,31159.619140625,31159.619140625,18800
31195.720703125,31195.720703125,30474.150390625,30690.01953125,30690.01953125,16100
31277.109375,31568.359375,30222.0703125,30379.810546875,30379.810546875,23600
30095.509765625,30800.19921875,30016.169921875,30602.609375,30602.609375,16900
31656.6796875,31718.73046875,30960.939453125,31588.720703125,31588.720703125,22200
32056.189453125,32056.470703125,31490.259765625,31648.0,31648.0,17200
30836.189453125,30900.119140625,30378.259765625,30636.7109375,30636.7109375,19700
30856.140625,31471.140625,30578.55078125,31379.55078125,31379.55078125,21000
31646.44921875,31959.01953125,31292.919921875,31863.080078125,31863.080078125,24400
31426.619140625,31842.240234375,31278.26953125,31327.220703125,31327.220703125,17600
